date, total
2019-05-07 10:00:00, 147
2019-05-07 11:00:00, 246
2019-05-07 12:00:00, 323
2019-05-07 13:00:00, 515
2019-05-07 14:00:00, 577
2019-05-07 15:00:00, 518
2019-05-07 16:00:00, 496
2019-05-07 17:00:00, 672
2019-05-07 18:00:00, 602
2019-05-07 19:00:00, 496
2019-05-07 20:00:00, 434
2019-05-07 21:00:00, 410
2019-05-07 22:00:00, 247
2019-05-07 23:00:00, 171
2019-05-08 00:00:00, 229
2019-05-08 01:00:00, 103
2019-05-08 02:00:00, 80
2019-05-08 03:00:00, 36
2019-05-08 04:00:00, 69
2019-05-08 05:00:00, 63
2019-05-08 06:00:00, 61
2019-05-08 07:00:00, 62
2019-05-08 08:00:00, 60
2019-05-08 09:00:00, 46
2019-05-08 10:00:00, 54
2019-05-08 11:00:00, 55
2019-05-08 12:00:00, 56
2019-05-08 13:00:00, 44
2019-05-08 14:00:00, 66
2019-05-08 15:00:00, 48
2019-05-08 16:00:00, 62
2019-05-08 17:00:00, 45
2019-05-08 18:00:00, 17
2019-05-08 19:00:00, 29
2019-05-08 20:00:00, 36
2019-05-08 21:00:00, 19
2019-05-08 22:00:00, 52
2019-05-08 23:00:00, 80
2019-05-09 00:00:00, 42
2019-05-09 01:00:00, 44
2019-05-09 02:00:00, 65
2019-05-09 03:00:00, 53
2019-05-09 04:00:00, 69
2019-05-09 05:00:00, 87
2019-05-09 06:00:00, 78
2019-05-09 07:00:00, 122
2019-05-09 08:00:00, 121
2019-05-09 09:00:00, 1
2019-05-09 10:00:00, 7
2019-05-09 11:00:00, 143
2019-05-09 12:00:00, 134
2019-05-09 13:00:00, 83
2019-05-09 14:00:00, nan
2019-05-09 15:00:00, nan
2019-05-09 16:00:00, nan
2019-05-09 17:00:00, nan
2019-05-09 18:00:00, nan
2019-05-09 19:00:00, nan
2019-05-09 20:00:00, nan
2019-05-09 21:00:00, nan
2019-05-09 22:00:00, nan
2019-05-09 23:00:00, nan
2019-05-10 00:00:00, nan
2019-05-10 01:00:00, nan
2019-05-10 02:00:00, nan
2019-05-10 03:00:00, nan
2019-05-10 04:00:00, nan
2019-05-10 05:00:00, nan
2019-05-10 06:00:00, nan
2019-05-10 07:00:00, nan
2019-05-10 08:00:00, nan
2019-05-10 09:00:00, nan
2019-05-10 10:00:00, nan
2019-05-10 11:00:00, nan
2019-05-10 12:00:00, 253
2019-05-10 13:00:00, 287
2019-05-10 14:00:00, 370
2019-05-10 15:00:00, 278
2019-05-10 16:00:00, 311
2019-05-10 17:00:00, 296
2019-05-10 18:00:00, 220
2019-05-10 19:00:00, 140
2019-05-10 20:00:00, 200
2019-05-10 21:00:00, 173
2019-05-10 22:00:00, 224
2019-05-10 23:00:00, 190
2019-05-11 00:00:00, 210
2019-05-11 01:00:00, 157
2019-05-11 02:00:00, 234
2019-05-11 03:00:00, 97
2019-05-11 04:00:00, 51
2019-05-11 05:00:00, 66
2019-05-11 06:00:00, 148
2019-05-11 07:00:00, 246
2019-05-11 08:00:00, 124
2019-05-11 09:00:00, 68
2019-05-11 10:00:00, 104
2019-05-11 11:00:00, 167
2019-05-11 12:00:00, 139
2019-05-11 13:00:00, 105
2019-05-11 14:00:00, 62
2019-05-11 15:00:00, 65
2019-05-11 16:00:00, 66
2019-05-11 17:00:00, 47
2019-05-11 18:00:00, 65
2019-05-11 19:00:00, 184
2019-05-11 20:00:00, 101
2019-05-11 21:00:00, 42
2019-05-11 22:00:00, 33
2019-05-11 23:00:00, 119
2019-05-12 00:00:00, 130
2019-05-12 01:00:00, 83
2019-05-12 02:00:00, 106
2019-05-12 03:00:00, 91
2019-05-12 04:00:00, 106
2019-05-12 05:00:00, 108
2019-05-12 06:00:00, 101
2019-05-12 07:00:00, 128
2019-05-12 08:00:00, 136
2019-05-12 09:00:00, 120
2019-05-12 10:00:00, 77
2019-05-12 11:00:00, 65
2019-05-12 12:00:00, 73
2019-05-12 13:00:00, 105
2019-05-12 14:00:00, 103
2019-05-12 15:00:00, 152
2019-05-12 16:00:00, 136
2019-05-12 17:00:00, 162
2019-05-12 18:00:00, 146
2019-05-12 19:00:00, 113
2019-05-12 20:00:00, 141
2019-05-12 21:00:00, 113
2019-05-12 22:00:00, 119
2019-05-12 23:00:00, 82
2019-05-13 00:00:00, 97
2019-05-13 01:00:00, 105
2019-05-13 02:00:00, 104
2019-05-13 03:00:00, 117
2019-05-13 04:00:00, 146
2019-05-13 05:00:00, 126
2019-05-13 06:00:00, 126
2019-05-13 07:00:00, 214
2019-05-13 08:00:00, 219
2019-05-13 09:00:00, 158
2019-05-13 10:00:00, 202
2019-05-13 11:00:00, 202
2019-05-13 12:00:00, 210
2019-05-13 13:00:00, 224
2019-05-13 14:00:00, 235
2019-05-13 15:00:00, 219
2019-05-13 16:00:00, 226
2019-05-13 17:00:00, 190
2019-05-13 18:00:00, 203
2019-05-13 19:00:00, 251
2019-05-13 20:00:00, 183
2019-05-13 21:00:00, 199
2019-05-13 22:00:00, 165
2019-05-13 23:00:00, 150
2019-05-14 00:00:00, 146
2019-05-14 01:00:00, 136
2019-05-14 02:00:00, 156
2019-05-14 03:00:00, 171
2019-05-14 04:00:00, 189
2019-05-14 05:00:00, 219
2019-05-14 06:00:00, 287
2019-05-14 07:00:00, 229
2019-05-14 08:00:00, 325
2019-05-14 09:00:00, 281
2019-05-14 10:00:00, 395
2019-05-14 11:00:00, 339
2019-05-14 12:00:00, 326
2019-05-14 13:00:00, 326
2019-05-14 14:00:00, 275
2019-05-14 15:00:00, 263
2019-05-14 16:00:00, 287
2019-05-14 17:00:00, 198
2019-05-14 18:00:00, 217
2019-05-14 19:00:00, 256
